name,rating,review
,10,진짜말이필요없음안보면후회한다주동우가계속우는연기를하는데나까지울컥해서펑펑울었다웬만하면영화리뷰안남기는데안남길수가없는영화이양천새도잘생기고연기너무잘함대사하나하나가전부명대사다솔직히어린아이들의사랑이라고만정의내리기에는영화안에담겨진메시지와그들의교차하는감정과교감또한너무뛰어나고감정선이너무좋았다상영관이더많았으면거의출석체크하러갔을텐데얼마안하는게넘아쉬웠음
,7,주동우와이양천새의연기는그저소름돋는다
미녀와 야수,,
,10,ㅋㅋ혼자보구왔는데세상이달라보이네보고나면길걷는것도재밌고그냥웃음나오고행벅함
,10,말이필요없다진짜실사화제대로해놨네역대급임진심디즈니에서일제대로함
,10,야수의선홍빛잇몸미소가아직도눈에선합니다
,10,시사회보고왔습니다일단역대디즈니실사화영화중에역대급이라할수있습니다노래영상미연기모두뛰어나고CG가너무황홀해서어릴적향수를그대로충족시켜주는영화였습니다디즈니에게다시한번박수를보내게되네요
,10,예매망설이신분들그냥봐요두번봐요전다섯번볼테니ㅎㅎㅎ헿
,10,벨캐스팅잘한듯야수도귀여움근데왕자보다개스톤이더잘생김왕자구림ㅋㅋ
,10,원작미녀와야수와많이비슷해서보면서어릴적만화영화가주마등처럼지나가더라구요소품디테일도대단하고배우들노래부르시는게진심이담겨있고가사하나하나가정말사랑하는기분이들어서감동먹었어요ㅜㅜ인생영화
,10,미녀와야수스토리안다고생각했는데왜나눈물남ㅠㅠㅠㅠ진짜마지막에울컥함또봐야지
,5,왕자보다야수의모습이더멋진아이러니한상황
,10,잊고있던내어린시절로돌아간기분이다동화같은영화가동화같았던어린시절기억을떠오르게한다정말영화가이쁘다
알라딘,,
,10,윌스미스가하드캐리하여의도치않게원작을뛰어넘은실사영화
,10,영화가너무아름답다ost도잊혀지지안고디즈니실사중에서최고중에최고다쟈스민너무멋지고팬엄청나게생길듯웃다가울다가너무좋았음
,10,존잼임난처음도입부에아라비안나잇이부분에서부터감동받아서울뻔했음
,10,자스민의speechless명장면이고덤으로윌스미스의연기력또한매우굿
,10,Awholenewworld나올때때개소름
,10,자스민존나이쁘다
,10,지니가나오면이세상흥이아니다ㅎ
,10,일요일아침8시디즈니만화동산챙겨보고비디오알라딘애니도수십번빌려봐서테이프늘어났었는데ㅎㅎ클린액으로비디오헤드청소해보신분손
,10,디즈니가미쳤음영화시장을통재로잡아먹으려고작정을함끝내주는영화이제껏디즈니실사중최고였음
,10,제일우려스러웠던윌스미스가하드캐리하는바람에원작뛰어넘어버림ㅋㅋㅋ
고 피쉬!,,
,1,니모를기대하고갔다가깜짝놀라고온
,1,이건좀아니잖냐
,1,9살아이데리고봤는데안좋은시국에아무리볼영화가없어도이건아님시작전에광고가제일재밌었음
,2,4학년2학년두딸과보러갔는데이거미국영화맞나요중국영화인가했네요스토리도빈약하고화면도너무단순하고기승전결이있긴하지만너무맹숭맹숭해서둘째딸집중못하고얼마나어수선하던지유치원이하어린이들이봐야할수준인데그러기에도몰입도떨어지는중간중간음악이라도나오면나오겠지만물고기들이지루하게늘어지는대화만많이하고그나마해마가암수구분없이임신한다는지식하나얻어가네요도리를찾아서니모를찾아서생각했다가완젼폭망이럴거면알라딘을봤어야했는데돈아까워요ㅠ
,10,물고기들이너무귀엽고또환경문제를아이들이알기쉽고재미있게잘풀어놨네요아이들이너무좋아했어요
,2,상어가족2시간트는게더나은수준
,2,시장은닭비서는비선실세
,10,아이랑재미있게보고왔는데악플만있네요무시무시하고징그러운악당을싫어하는아이라이영화가너무재미있었다고합니다색감도예쁘고잔잔한스토리괜찮았어요
,10,
,10,
마티아스와 막심,,
,10,mm
,8,자비에돌란플레이리스트훔쳐오고싶다
,9,순간순간뻔하지않은전개들다시처음으로돌아간것처럼순수의극치키스하는그들의가슴떨리는순간과동시에펼쳐지는소나기와잘당겨지지않은양말까지아름다왔다
,8,내내부러움을느낄정도로사이좋은친구들이기억에남네
,6,초반에는지루하다막심과케빈은잘생기고만화에서튀어나온듯섹시하고매력적이다
,9,매력적인영화연기음악연출다좋았다
,10,이친구들의우정이야기사랑합니다
,8,자비에돌란의영화를내가왜좋아했는지다시한번깨달았다MM
,8,자비에돌란특유의미장센이좋다
,8,자비에돌란의전작들이자의식과잉처럼느껴져서싫었다면이거까지만보고다시평가해도늦지않을듯생각보다좋았다막심이이메일주소를부르다가흐느낄땐콜바넴에서화롯가에앉아우는엘리오랑겹쳐보이기도
밤쉘: 세상을 바꾼 폭탄선언,,
,10,이시국필람영화세상모든성범죄자들이자신의죄만큼벌받을때까지
,10,여성들끼리연대가중요함모른척하고침묵할수록결국내딸내친구나로다시돌아온다
,10,와진짜너무재미있다짜릿하고소름돋고화나고공감되고ㅠㅠ언니들최고다또봐야지
,10,세배우들이캐리하는재밌는영화
,10,기대했던만큼재밌게봤다배우들연기도쩔고진짜통쾌함진짜지금봐야하는영화
,10,잠시도눈을뗄수없었다긴장감몰입감속도감쩔어줌ㅠㅠ영화자체로도재미있는데다강력한메시지까지완벽했다한사람한사람의용기가모여세상을바꿀수있다우리는변화하고있다지금도
,9,내용연기모두좋았어요
,6,배우들의명연기에비해너무밋밋한연출그래도메시지는명확하게전달했다사실그것마저도배우들의덕이큰영화다
,10,세배우의합이너무좋았고지금상황에딱맞는영화라고느껴졌다엘리베이터장면이너무강렬하게기억에남음ㅠㅠ
,10,피해자가자신을혐오하는상황이너무안타깝다목소리를낸피해자들은모두정말대단한사람들이다우리는피해자들이떳떳하게살아갈수있는사회를만들어야할것이다
지저귀는 새는 날지 않는다,,
,10,원작만화책의내용을모두스크린으로옮기지는않았지만상당히이야기전개가깔끔하고연출이며성우들의연기가자연스러워좋았습니다특히야시로가요마지막OST도영화와잘어울려서여운을잘줬고책으로나온뒷부분도다시영화화해줬으면합니다
,10,내용을알고있어도스토리흘러가는거나주인공들이야기에몰입할수밖에없었고복잡한사랑인듯사랑아닌그간질거림이잘드러나서너무좋았다ㅠㅠ그리고야시로행복하게해주세요제발보는내내이생각밖에안들어요ㅠㅠ
,8,마지막에나오는Ost가좋네요작붕이있긴했지만얼굴이참잘생겼습니다
,10,드씨와는다른연출방식이었지만극장판나름의스토리진행으로보는데는전혀문제없었다오히려시간에맞춰잘편집한느낌야시로는여전히섹시했고도메키는더욱우직해서너무좋았다다만작화가가끔씩무너지는게보여서그부분이안타깝긴했지만그런것들을커버하고도남을작품이었다2편도개봉되길
,10,제가엄청좋아하는작품입니다개봉이날을계속기대하고있습니다진짜좋아합니다성우들도그러고OST도그러고완전좋아합니다
,8,추억의야오이를극장에서본역사적인날요즘세대들좋겠다앞으로많은BL물이상영되길바랍니다
,10,원작의섬세한스토리와감성을너무잘담아낸극장판ㅠbb
,9,원작모르고오로지BL물이스크린에이런마음으로보러갔음1관람후집으로돌아가는길에전권구매함2원작을보고나니야시로의행동이나감정이훨씬더잘이해되었고도메키의행동에어떤의미가있는건지이해하게되어서감동이두배3작붕이있으나몰입에방해되는정도는아님4음악을너무잘씀엔딩곡은가사까지절묘해서끝까지듣게됨5수위가많이높음주의
,9,원작의스토리에충실한영화임짧은상영시간덕에사전에원작을보지않은관객들은스토리의개연성이떨어진다고느낄수있을듯합니다하지만그림으로만보던만화를애니메이션으로볼수있었다는점만화책으로봤을때그다지와닿지않았던감정선이애니메이션으로보니아이게이런느낌이었나싶은부분이분명히있었음그리고기대이상의OST
,10,원작을너무오래전에봐서다까먹고봤는데너무좋았어요영화관에서우헣싶은장면이많이나오기는한데청불아님큰일날영화스토리랑연출오스트가너무아련아련하게잘잡아준거같아요
블루 아워,,
